Label,k_eps,Slope_ENG,Slope_EST,R2_ENG,R2_EST,Deviation_ENG(%),Deviation_EST(%)
0.4,13.788988905632364,-4.69848518,-7.67694154,0.9570436886565452,0.9703674680237847,181.90911077371734,91.9235385
1,10.960478360887263,-3.61822889,-5.828686889,0.829003784,0.9937450142432347,117.09373337772968,45.71717222294423
5,6.010584907583338,-2.673556902,-3.500037691,0.9100307046849229,0.9977518029058717,60.41341411,12.499057729851337
15,3.889201999024513,-2.823563735,-3.558276793,0.9387043431019186,0.9939481242521643,69.41382408987806,11.043080176530317
10,5.303457271397063,-3.04909865,-3.383129822,0.9716480104105413,0.996524616,82.94591902780681,15.42175444290087
20,3.1820743628382377,-2.677436803,-3.712454711,0.9646318953254418,0.9933573980645727,60.64620816660084,7.188632228558278
25,2.4749467266519627,-2.555610704,-3.903180815,0.9523494769714868,0.9933825159466521,53.33664225039891,2.4204796126125805
30,3.1820743628382377,-2.812955774,-3.870712476,0.9427980730800809,0.9931385603890354,68.77734645,3.232188099931721
35,3.1820743628382377,-2.860163374,-4.181330946,0.9606610956294066,0.9888013436353958,71.60980244295779,4.533273638343038
40,1.7678190904656876,-2.366720529,-4.283723406,0.9299815820418057,0.9916471306693232,42.00323173307973,7.093085138047028
45,1.0606914542794126,-2.011805423,-4.489986259,0.8740132866788632,0.9928733561290136,20.70832538640507,12.24965648496703
50,2.4749467266519627,-2.629103733,-4.560712798,0.9700117988547496,0.9927123621708863,57.74622396752756,14.017819944745845
70,1.7678190904656876,-2.504733505,-5.09253959,0.9356155222006364,0.984426364,50.28401030713863,27.313489758520326
90,1.0606914542794126,-2.245071479,-5.556273856,0.9381056218356716,0.9860734823694761,34.70428875375864,38.90684640477817
110,1.0606914542794126,-2.271617235,-5.504420275,0.9391302879426456,0.9885534197421583,36.29703409100865,37.610506864352146
130,1.7678190904656876,-2.756888448,-5.938300944,0.9477230829826508,0.980100349,65.41330687,48.45752359298145
150,1.7678190904656876,-2.649849623,-6.718320515,0.9296543214985896,0.9856327510436925,58.990977370366025,67.95801287051036
170,1.0606914542794126,-2.577566664,-6.4510752,0.9444777079696421,0.9725944487404581,54.65399982416841,61.276880004646884
186,1.0606914542794126,-2.437556471,-7.041468458,0.9031844538468196,0.9838060688182724,46.25338827624098,76.03671144654265